school,district,state
mohegan school,montville school district,connecticut
oakdale school,montville school district,connecticut
andrew avenue school,naugatuck school district,connecticut
city hill middle school,naugatuck school district,connecticut
cross street intermediate school,naugatuck school district,connecticut
hillside intermediate school,naugatuck school district,connecticut
hop brook elementary school,naugatuck school district,connecticut
maple hill school,naugatuck school district,connecticut
salem school,naugatuck school district,connecticut
western school,naugatuck school district,connecticut
new beginnings inc family academy,new beginnings inc family academy district,connecticut
chamberlain elementary school,new britain school district,connecticut
diloreto elementary & middle school,new britain school district,connecticut
gaffney elementary school,new britain school district,connecticut
holmes elementary school,new britain school district,connecticut
house of arts letters and science (hals) academy,new britain school district,connecticut
jefferson elementary school,new britain school district,connecticut
lincoln elementary school,new britain school district,connecticut
northend elementary school,new britain school district,connecticut
pulaski middle school,new britain school district,connecticut
slade middle school,new britain school district,connecticut
smalley elementary school,new britain school district,connecticut
smith elementary school,new britain school district,connecticut
vance elementary school,new britain school district,connecticut
east school,new canaan school district,connecticut
saxe middle school,new canaan school district,connecticut
south school,new canaan school district,connecticut
west school,new canaan school district,connecticut
meeting house hill school,new fairfield school district,connecticut
new fairfield middle school,new fairfield school district,connecticut
ann antolini school,new hartford school district,connecticut
augusta lewis troup school,new haven school district,connecticut
barack h. obama magnet university school,new haven school district,connecticut
barnard environmental magnet school,new haven school district,connecticut
beecher school,new haven school district,connecticut
benjamin jepson magnet school,new haven school district,connecticut
betsy ross arts magnet school,new haven school district,connecticut
bishop woods architecture and design magnet school,new haven school district,connecticut
brennan rogers school,new haven school district,connecticut
"celentano biotech, health and medical magnet school",new haven school district,connecticut
clinton avenue school,new haven school district,connecticut
conte/west hills magnet school,new haven school district,connecticut
davis academy for arts & design innovation,new haven school district,connecticut
east rock community magnet school,new haven school district,connecticut
edgewood school,new haven school district,connecticut
engineering - science university magnet school,new haven school district,connecticut
fair haven school,new haven school district,connecticut
family academy of multilingual exploration,new haven school district,connecticut
hill central music academy,new haven school district,connecticut
john c. daniels,new haven school district,connecticut
john s. martinez sea and sky stem school,new haven school district,connecticut
king/robinson magnet school,new haven school district,connecticut
lincoln-bassett school,new haven school district,connecticut
mauro-sheridan magnet school,new haven school district,connecticut
nathan hale school,new haven school district,connecticut
roberto clemente leadership academy for global awareness,new haven school district,connecticut
ross/woodward school,new haven school district,connecticut
truman school,new haven school district,connecticut
wexler/grant community school,new haven school district,connecticut
worthington hooker school,new haven school district,connecticut
bennie dover jackson middle school,new london school district,connecticut
c.b. jennings international elementary magnet,new london school district,connecticut
harbor elementary school,new london school district,connecticut
nathan hale arts magnet school,new london school district,connecticut
new london visual and performing arts magnet school,new london school district,connecticut
science and technology magnet pathway for middle grades,new london school district,connecticut
winthrop stem elementary magnet school,new london school district,connecticut
sarah noble intermediate school,new milford school district,connecticut
schaghticoke middle school,new milford school district,connecticut
anna reynolds school,newington school district,connecticut
elizabeth green school,newington school district,connecticut
john paterson school,newington school district,connecticut
john wallace middle school,newington school district,connecticut
martin kellogg middle school,newington school district,connecticut
ruth chaffee school,newington school district,connecticut
hawley elementary school,newtown school district,connecticut
head o'meadow elementary school,newtown school district,connecticut
middle gate elementary school,newtown school district,connecticut
newtown middle school,newtown school district,connecticut
reed intermediate school,newtown school district,connecticut
sandy hook elementary school,newtown school district,connecticut
north branford intermediate school,north branford school district,connecticut
totoket valley elementary school,north branford school district,connecticut
north canaan elementary school,north canaan school district,connecticut
clintonville elementary school,north haven school district,connecticut
green acres elementary school,north haven school district,connecticut
montowese elementary school,north haven school district,connecticut
north haven middle school,north haven school district,connecticut
ridge road elementary school,north haven school district,connecticut
north stonington elementary school,north stonington school district,connecticut
wheeler high school,north stonington school district,connecticut
brookside elementary school,norwalk school district,connecticut
concord magnet school,norwalk school district,connecticut
cranbury elementary school,norwalk school district,connecticut
fox run elementary school,norwalk school district,connecticut
jefferson marine science elementary school,norwalk school district,connecticut
kendall college & career academy,norwalk school district,connecticut
marvin elementary school,norwalk school district,connecticut
naramake elementary school,norwalk school district,connecticut
nathan hale middle school,norwalk school district,connecticut
ponus ridge steam academy,norwalk school district,connecticut
roton middle school,norwalk school district,connecticut
rowayton school,norwalk school district,connecticut
silvermine dual language magnet school,norwalk school district,connecticut
tracey magnet school,norwalk school district,connecticut
west rocks middle school,norwalk school district,connecticut
wolfpit integrated arts elementary school,norwalk school district,connecticut
john b. stanton school,norwich school district,connecticut
kelly steam magnet middle school,norwich school district,connecticut
moriarty magnet school,norwich school district,connecticut
samuel huntington school,norwich school district,connecticut
teachers' memorial global studies magnet middle school,norwich school district,connecticut
thomas w. mahan school,norwich school district,connecticut
uncas elementary school,norwich school district,connecticut
veterans' memorial school,norwich school district,connecticut
wequonnoc magnet school,norwich school district,connecticut
odyssey community school,odyssey community school district,connecticut
kathleen e. goodwin school,old saybrook school district,connecticut
old saybrook middle school,old saybrook school district,connecticut
peck place school,orange school district,connecticut
race brook school,orange school district,connecticut
turkey hill school,orange school district,connecticut
great oak elementary school,oxford school district,connecticut
oxford middle school,oxford school district,connecticut
park city prep charter school,park city prep charter school district,connecticut
moosup elementary school,plainfield school district,connecticut
plainfield central school,plainfield school district,connecticut
plainfield memorial school,plainfield school district,connecticut
shepard hill elementary school,plainfield school district,connecticut
frank t. wheeler school,plainville school district,connecticut
linden street school,plainville school district,connecticut
louis toffolon school,plainville school district,connecticut
middle school of plainville,plainville school district,connecticut
eli terry jr. middle school,plymouth school district,connecticut
harry s. fisher elementary school,plymouth school district,connecticut
pomfret community school,pomfret school district,connecticut
brownstone intermediate school,portland school district,connecticut
gildersleeve school,portland school district,connecticut
portland middle school,portland school district,connecticut
preston plains school,preston school district,connecticut
preston veterans' memorial school,preston school district,connecticut
putnam elementary school,putnam school district,connecticut
putnam middle school,putnam school district,connecticut
john read middle school,redding school district,connecticut
redding elementary school,redding school district,connecticut
john winthrop middle school,regional school district 04,connecticut
amity middle school: bethany,regional school district 05,connecticut
amity middle school: orange,regional school district 05,connecticut
goshen center school,regional school district 06,connecticut
wamogo regional middle school,regional school district 06,connecticut
northwestern regional middle school,regional school district 07,connecticut
rham middle school,regional school district 08,connecticut
har-bur middle school,regional school district 10,connecticut
harwinton consolidated school,regional school district 10,connecticut
lake garda elementary school,regional school district 10,connecticut
parish hill high school,regional school district 11,connecticut
shepaug valley school,regional school district 12,connecticut
washington primary school,regional school district 12,connecticut
frank ward strong school,regional school district 13,connecticut
john lyman school,regional school district 13,connecticut
middlefield memorial school,regional school district 13,connecticut
bethlehem elementary school,regional school district 14,connecticut
mitchell elementary school,regional school district 14,connecticut
woodbury middle school,regional school district 14,connecticut
gainfield elementary school,regional school district 15,connecticut
long meadow elementary school,regional school district 15,connecticut
memorial middle school,regional school district 15,connecticut
middlebury elementary school,regional school district 15,connecticut
pomperaug school,regional school district 15,connecticut
rochambeau middle school,regional school district 15,connecticut
laurel ledge school,regional school district 16,connecticut
long river middle school,regional school district 16,connecticut
prospect elementary school,regional school district 16,connecticut
burr district elementary school,regional school district 17,connecticut
haddam-killingworth intermediate school,regional school district 17,connecticut
haddam-killingworth middle school,regional school district 17,connecticut
killingworth elementary school,regional school district 17,connecticut
lyme consolidated school,regional school district 18,connecticut
lyme-old lyme middle school,regional school district 18,connecticut
mile creek school,regional school district 18,connecticut
barlow mountain elementary school,ridgefield school district,connecticut
branchville elementary school,ridgefield school district,connecticut
east ridge middle school,ridgefield school district,connecticut
farmingville elementary school,ridgefield school district,connecticut
ridgebury elementary school,ridgefield school district,connecticut
scotland elementary school,ridgefield school district,connecticut
scotts ridge middle school,ridgefield school district,connecticut
veterans park elementary school,ridgefield school district,connecticut
albert d. griswold middle school,rocky hill school district,connecticut
moser school,rocky hill school district,connecticut
myrtle h. stevens school,rocky hill school district,connecticut
west hill school,rocky hill school district,connecticut
salem elementary school,salem school district,connecticut
salisbury central school,salisbury school district,connecticut
bungay school,seymour school district,connecticut
chatfield-lopresti school,seymour school district,connecticut
seymour middle school,seymour school district,connecticut
booth hill school,shelton school district,connecticut
elizabeth shelton school,shelton school district,connecticut
intermediate school,shelton school district,connecticut
