,0
1028,h b mattlin middle school
1029,old bethpage school
1030,plainview-old bethpage middle school
1031,stratford road school
1032,oyster bay high school
1033,vernon school
1034,cantiague elementary school
1035,george a jackson school
1036,robert seaman elementary school
1037,jericho middle school
1038,burns avenue school
1039,dutch lane school
1040, fork lane school
1041,lee avenue school
1042,old country road school
1043,woodland avenue school
1044,hicksville middle school
1045,east street school
1046,plainedge middle school
1047,eastplain school
1048,john h west school
1049,charles e schwarting school
1050,central boulevard elementary school
1051,charles campagne school
1052,kramer lane elementary school
1053,albany avenue elementary school
1054,saltzman east memorial elementary school
1055,northside elementary school
1056,woodward parkway elementary school
1057,howitt school
1058,birch lane elementary school
1059,east lake elementary school
1060,fairfield elementary school
1061,lockhart elementary school
1062,unqua elementary school
1063,berner middle school
1064,mckenna elementary school
1065,new york county
1066,new york city geographic district # 1
1067,ps 15 roberto clemente
1068,ps 19 asher levy
1069,ps 20 anna silver
1070,ps 34 franklin d roosevelt
1071,star academy ps 63 (the)
1072,ps 64 robert simon
1073,ps 110 florence nightingale
1074,ps 134 henrietta szold
1075,ps 140 nathan straus
1076,ps 142 amalia castro
1077,ps 184 shuang wen
1078,ps 188 island school (the)
1079,"technology, arts and sciences studio school"
1080,east village community school (the)
1081,university neighborhood middle school
1082,children's workshop school (the)
1083,neighborhood school
1084,earth school
1085,school for global leaders
1086,tompkins square middle school
1087,east side community school
1088,"new explorations into science,tech and math high school"
1089,girls preparatory charter school of new york
1090,new york city charter school of the arts
1091,new york city geographic district # 2
1092,ps 1 alfred e smith
1093,ps 2 meyer london
1094,ps 3 charrette school
1095,ps 6 lillie d blake
1096,ps 11 william t harris
1097,ps 33 chelsea prep
1098,ps 40 augustus saint-gaudens
1099,ps 41 greenwich village
1100,ps 42 benjamin altman
1101,ps 51 elias howe
1102,ps 59 beekman hill international
1103,ps 77 lower lab school
1104,jhs 104 simon baruch 
1105,ps 111 adolph s ochs
1106,east side middle school
1107,ps 116 mary lindley murray
1108,ps 124 yung wing
1109,ps 126 jacob august riis
1110,ps 130 hernando de soto
1111,ms 131 
1112,yorkville community school
1113,ps 158 baylard taylor
1114,jhs 167 robert f wagner
1115,yorkville east middle school
1116,ps 183 robert l stevenson
1117,ps 198 isador e ida straus
1118,ps 212 midtown west
1119,ps/is 217 roosevelt island
1120,ps 234 independence school
1121,ms 255 salk school of science
1122,ms 260 clinton school writers & artists
1123,east side elementray school-ps 267
1124,battery park city school
1125,river school (the)
1126,is 289
1127,ps 290 manhattan new school
1128,nyc lab ms for collaborative studies
1129,peck slip school (the)
1130,47 american sign language and english lower school (the)
1131,spruce street school
1132,school of the future high school
1133,ps 527 east side school for social action
1134,lower manhattan community middle school
1135,city knoll middle school
1136,ella baker school
1137,institute for collaborative education
1138,professional performing arts high school
1139,quest to learn
1140,ballet tech/nyc public school for dance 
1141,life sciences secondary school
1142,new york city geographic district # 3
1143,ps 9 sarah anderson
1144,jhs 54 booker t washington
1145,ps 75 emily dickinson
1146,ps 76 a phillip randolph
1147,ps 84 lillian weber
1148,ps 87 william sherman 
1149,ps 145 bloomingdale school (the)
1150,ps 149 sojourner truth
1151,ps 163 alfred e smith
1152,ps 165 robert e simon
1153,ps 166 richard rogers school of the arts & science (the)
1154,ps 180 hugo newman
1155,ps 191 amsterdam
1156,ps 199 jessie isador straus
1157,ps 208 alain l locke
1158,stem institute of manhattan
1159,ps 242 young diplomats magnet academy (the)
1160,ms 243 center school
1161,ms 245 computer school (the)
1162,ms 247 dual language middle school
1163,ms 250 west side collaborative middle school
1164,ms 256 academic and athletic excellence
1165,community action school-ms 258
1166,ps 333 manhattan school for children
1167,anderson school (the)
1168,west prep academy
1169,ps 452
1170,mott hall ii
1171,west end secondary school
1172,wadleigh secondary school for the performing  and visual arts
1173,special music school
1174,frederick douglass academy ii secondary school
1175,new york french-american charter school
1176,new york city geographic district # 4
1177,ps 7 samuel stern
1178,tag young scholars
1179,river east elementary
1180,ps 38 roberto clemente
1181,ps 50 vito marcantonio
1182,james weldon johnson school
1183,lexington academy (the)
1184,ps 83 luis munoz rivera
1185,ps 96 joseph lanzetta
1186,ps 102 jacques cartier
1187,ps 108 assemblyman angelo del toro educational complex
1188,ps 146 ann m short
1189,ps 155 william paca
1190,ps 171 patrick henry
1191,bilingual bicultural school (the)
1192,ps 206 jose celso barbosa
1193,ms 224 manhattan east school for arts & academics
1194,esperanza prepatory academy
1195,mosaic preparatory academy
1196,renaissance school of the arts
1197,global technology preparatory
1198,central park east i
1199,isaac newton ms for math and science
1200,central park east ii
1201,young women's leadership school
1202,amber charter school
1203,harlem village academy leadership charter school
1204,new york city geographic district # 5
1205,ps 30 hernandez/hughes
1206,ps 36 margaret douglas
1207,ps 46 arthur tappan
1208,ps 92 mary mcleod bethune
1209,ps 123 mahalia jackson
1210,ps 125 ralph bunche
1211,ps 129 john h finley
1212,ps 133 fred r moore
1213,ps 154 harriet tubman
1214,ps 161 pedro albizu campos
1215,ps 175 henry h garnet
1216,ps 194 countee cullen 
1217,ps 197 john b russwurm
