,year,Level,District_Code,District_Name,School_Name,Content,Grade,Mean_Scale_Score
2815,2017,SCHOOL,1040,ACADEMY 20,HIGH PLAINS ELEMENTARY SCHOOL,english,4,736
2816,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN VIEW ELEMENTARY SCHOOL,english,4,775
2817,2017,SCHOOL,1040,ACADEMY 20,PIONEER ELEMENTARY SCHOOL,english,4,754
2818,2017,SCHOOL,1040,ACADEMY 20,PRAIRIE HILLS ELEMENTARY SCHOOL,english,4,750
2819,2017,SCHOOL,1040,ACADEMY 20,RANCH CREEK ELEMENTARY,english,4,750
2820,2017,SCHOOL,1040,ACADEMY 20,ROCKRIMMON ELEMENTARY SCHOOL,english,4,755
2821,2017,SCHOOL,1040,ACADEMY 20,THE DA VINCI ACADEMY SCHOOL,english,4,749
2822,2017,SCHOOL,1040,ACADEMY 20,WOODMEN-ROBERTS ELEMENTARY SCHOOL,english,4,761
2823,2017,SCHOOL,1040,ACADEMY 20,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,english,5,758
2824,2017,SCHOOL,1040,ACADEMY 20,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,english,5,776
2825,2017,SCHOOL,1040,ACADEMY 20,ANTELOPE TRAILS ELEMENTARY SCHOOL,english,5,762
2826,2017,SCHOOL,1040,ACADEMY 20,CHINOOK TRAIL ELEMENTARY SCHOOL,english,5,758
2827,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY CHARTER,english,5,746
2829,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS ELEMENTARY SCHOOL,english,5,753
2830,2017,SCHOOL,1040,ACADEMY 20,DOUGLASS VALLEY ELEMENTARY SCHOOL,english,5,752
2831,2017,SCHOOL,1040,ACADEMY 20,EDITH WOLFORD ELEMENTARY SCHOOL,english,5,754
2832,2017,SCHOOL,1040,ACADEMY 20,EXPLORER ELEMENTARY SCHOOL,english,5,755
2833,2017,SCHOOL,1040,ACADEMY 20,FOOTHILLS ELEMENTARY SCHOOL,english,5,754
2834,2017,SCHOOL,1040,ACADEMY 20,FRONTIER ELEMENTARY SCHOOL,english,5,746
2835,2017,SCHOOL,1040,ACADEMY 20,HIGH PLAINS ELEMENTARY SCHOOL,english,5,739
2836,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN VIEW ELEMENTARY SCHOOL,english,5,768
2837,2017,SCHOOL,1040,ACADEMY 20,PIONEER ELEMENTARY SCHOOL,english,5,747
2838,2017,SCHOOL,1040,ACADEMY 20,PRAIRIE HILLS ELEMENTARY SCHOOL,english,5,752
2839,2017,SCHOOL,1040,ACADEMY 20,RANCH CREEK ELEMENTARY,english,5,750
2840,2017,SCHOOL,1040,ACADEMY 20,ROCKRIMMON ELEMENTARY SCHOOL,english,5,759
2841,2017,SCHOOL,1040,ACADEMY 20,THE DA VINCI ACADEMY SCHOOL,english,5,751
