District,District Code,School,School Code,Grade,Subject,Total Number of Students,Total Number Tested,Smarter Balanced Participation Rate,Total Number with Scored Tests,Count,%,Count,%,Count,%,Count,%,Count,%,Average VSS
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,5,Math,40,38,95,38,13,34.2,19,50,6,15.8,0,0,6,15.8,2475
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,6,ELA,45,42,93.3,42,*,*,11,26.2,17,40.5,*,*,*,*,2557
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,6,Math,45,41,91.1,41,13,31.7,9,22,12,29.3,7,17.1,19,46.3,2523
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Barkhamsted School District,0050011,Bridges at Barkhamsted Elementary School,0050211,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,6,ELA,196,191,97.4,191,28,14.7,44,23,71,37.2,48,25.1,119,62.3,2551
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,6,Math,196,191,97.4,191,39,20.4,58,30.4,57,29.8,37,19.4,94,49.2,2538
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,7,ELA,251,249,99.2,249,24,9.6,50,20.1,110,44.2,65,26.1,175,70.3,2590
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,7,Math,251,248,98.8,248,31,12.5,53,21.4,66,26.6,98,39.5,164,66.1,2599
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,8,ELA,216,216,100,216,15,6.9,54,25,96,44.4,51,23.6,147,68.1,2605
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,8,Math,216,216,100,216,43,19.9,57,26.4,59,27.3,57,26.4,116,53.7,2588
Berlin School District,0070011,Emma Hart Willard School,0070411,3,ELA,74,74,100,74,12,16.2,16,21.6,19,25.7,27,36.5,46,62.2,2447
Berlin School District,0070011,Emma Hart Willard School,0070411,3,Math,74,74,100,74,8,10.8,9,12.2,27,36.5,30,40.5,57,77,2477
Berlin School District,0070011,Emma Hart Willard School,0070411,4,ELA,69,69,100,68,*,*,15,22.1,*,*,31,45.6,*,*,2504
Berlin School District,0070011,Emma Hart Willard School,0070411,4,Math,69,69,100,68,*,*,*,*,24,35.3,22,32.4,46,67.6,2514
Berlin School District,0070011,Emma Hart Willard School,0070411,5,ELA,81,81,100,81,7,8.6,24,29.6,23,28.4,27,33.3,50,61.7,2532
Berlin School District,0070011,Emma Hart Willard School,0070411,5,Math,81,81,100,81,11,13.6,20,24.7,29,35.8,21,25.9,50,61.7,2537
